Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
17.7264,13.6935,36.4057,96.6832,0
17.6621,11.9006,36.4048,96.6832,0
10.4399,0.9648,36.4058,96.6832,0
10.4508,0.7693,36.407,96.6832,0
16.5,21.1679,36.4057,96.6833,0
11.1332,3.1196,36.4068,96.6833,0
18.5292,12.9761,36.4079,96.6833,0
18.4449,17.7967,36.4095,96.6833,0
17.5503,15.3789,36.4077,96.6833,0
19.8206,14.6079,36.4091,96.6833,0
11.2766,0.7428,36.4101,96.6833,0
11.2506,1.4265,36.4088,96.6833,0
10.2739,0.9236,36.4099,96.6833,0
10.3087,0.8611,36.411,96.6833,0
12.0087,17.6011,36.3887,96.6833,0
20.9956,21.6999,36.3874,96.6833,0
16.2532,14.3635,36.3896,96.6833,0
16.8342,14.4723,36.3907,96.6833,0
10.7902,0.7661,36.3918,96.6833,0
10.7755,1.5306,36.3865,96.6833,0
10.7928,0.6968,36.3897,96.6833,0
10.7927,0.9091,36.3908,96.6833,0
10.8722,2.1271,36.3905,96.6833,0
10.7884,0.8138,36.3985,96.6833,0
10.7901,1.1972,36.3981,96.6833,0
10.6856,0.8053,36.3995,96.6833,0
10.673,0.6922,36.4011,96.6833,0
10.6908,0.6671,36.3992,96.6833,0
10.72,0.8007,36.4004,96.6833,0
19.776,22.5515,36.4015,96.6833,0
16.3181,8.9915,36.4034,96.6833,0
18.0238,13.9083,36.4044,96.6833,0
10.2856,0.8451,36.4032,96.6833,0
11.8192,16.629,36.4043,96.6833,0
13.4048,17.2603,36.4054,96.6833,0
19.6368,23.3111,36.4064,96.6833,0
12.5641,0.7526,36.4052,96.6833,0
12.5726,0.7002,36.4063,96.6833,0
10.3775,0.8437,36.4074,96.6833,0
17.6833,14.1145,36.4085,96.6833,0
17.2177,16.1651,36.4072,96.6833,0
10.7599,2.5742,36.4093,96.6833,0
10.7186,8.2332,36.4086,96.6833,0
17.8758,15.1009,36.4098,96.6833,0
20.0366,22.2987,36.4118,96.6833,0
11.4413,17.1603,36.4139,96.6833,0
18.1589,14.0669,36.4127,96.6833,0
10.4382,3.2424,36.4138,96.6833,0
18.2091,8.9703,36.4149,96.6833,0
